,district
   حي ضاحية الملك فهد ,173
   حي اللؤلؤ ,149
   حي الصواري ,149
   حي التحلية ,149
   حي العارض ,137
   حي طيبة ,124
   حي الرمال ,119
   حي الروضة ,116
   حي المحمدية ,104
   حي المنار ,100
   حي الشاطئ ,99
   حي الكورنيش ,96
   حي الحزام الاخضر ,96
   حي البساتين ,83
   حي العليا ,80
   حي الزمرد ,80
   حي الياقوت ,78
   حي الشعلة ,69
   حي الحمراء ,60
   حي بدر ,58
   حي الشاطئ الغربي ,53
   حي الامواج ,53
   حي الراكة الجنوبية ,52
   حي البحيرة ,51
   حي مدينة العمال ,50
   حي المدينة الرياضية ,50
   حي المنتزه ,50
   حي الزهراء ,49
   حي الجوهرة ,47
   حي المدينة الصناعية الثانية ,47
   حي الخالدية الشمالية ,47
   حي الاثير ,46
   حي الفرسان ,46
   حي السيف ,46
   حي الملقا ,39
   حي طويق ,38
   حي النرجس ,35
   حي المونسية ,34
   حي القادسية ,30
   حي بريمان ,29
   حي ظهرة لبن ,28
   حي السليمانية ,24
   حي النعيم ,23
   حي الياسمين ,22
   حي العقيق ,22
   حي الصحافة ,21
   حي النهضة ,18
   حي الخالدية ,15
   حي ابحر الشمالية ,15
   حي قرطبة ,13
   حي الشرق ,13
   حي القيروان ,13
   حي اليرموك ,13
   حي الصالحية ,12
   حي الحمدانية ,11
   حي الصوارى ,10
   حي الخزامى ,10
   حي حطين ,10
   حي الندى ,10
   حي الملز ,10
   حي الرحمانية ,10
   حي الفيحاء ,9
   حي ابحر الجنوبية ,9
   حي الربوة ,9
   حي المهدية ,9
   حي الصفا ,9
   حي التعاون ,8
   حي الملك عبدالله ,8
   حي النزهة ,8
   حي الرائد ,8
   حي الربيع ,7
   حي الشراع ,7
   حي السلامة ,7
   حي الواحة ,7
   حي الفلاح ,7
   حي الملك فهد ,7
   حي العزيزية ,7
   حي الخليج ,7
   حي المعيزلة ,6
   حي الاندلس ,6
   حي اشبيلية ,6
   حي الحزم ,6
   حي الجنادرية ,6
   حي العريجاء الغربية ,6
   حي الشهداء ,6
   حي الوادي ,5
   حي المصيف ,5
   حي النخيل ,5
   حي النفل ,5
   حي عرقة ,5
   حي المرجان ,5
   حي الورود ,5
   حي ام الحمام الغربي ,5
   حي عكاظ ,5
   حي القدس ,5
   حي الرياض ,4
   حي الفيصلية ,4
   حي العريجاء الوسطى ,4
   حي المرسلات ,4
   حي الحزام الذهبي ,4
   حي الشاطئ الشرقي ,4
   حي غرناطة ,4
   حي ظهرة البديعة ,4
   حي الازدهار ,3
   حي الرفيعة ,3
   حي النسيم الغربي ,3
   حي عليشة ,3
   حي الملك فيصل ,3
   حي الجزيرة ,3
   حي الدار البيضاء ,3
   حي السويدي ,3
   حي ام الحمام الشرقي ,3
   حي النورس ,3
   حي الكوثر ,3
   حي السعادة ,3
   حي السويدي الغربي ,3
   حي البوادي ,3
   حي الريان ,3
   حي جامعة الدمام ,2
   حي المزروعية ,2
   حي الرحاب ,2
   حي الجسر ,2
   حي الفردوس ,2
   حي العقربية ,2
   حي المروة ,2
   حي الشفا ,2
   حي الملك عبدالعزيز ,2
   حي الاسكان ,2
   حي ديراب ,2
   حي الضباط ,2
   حي منفوحة الجديدة ,2
   حي جرير ,2
   حي سلطانة ,2
   حي الهدا ,2
   حي الوشام ,2
   حي الروابي ,2
   حي المؤتمرات ,2
   حي النظيم ,2
   حي المروج ,2
   حي الزهرة ,2
   حي النسيم الشرقي ,2
   حي البديعة ,2
   حي النموذجية ,2
   حي بنبان ,2
   حي أحد ,1
   حي ام سليم ,1
   حي السفارات ,1
   حي المناخ ,1
   حي السفن ,1
   حي الانوار ,1
   حي الأمل ,1
   حي الخبر الشمالية ,1
   حي ام حبلين ,1
   حي شبرا ,1
   حي مطار الملك خالد الدولي ,1
   حي مشرفة ,1
   حي السامر ,1
   حي الاجاويد ,1
   حي المنصورة ,1
   حي الحائر ,1
   حي المدينة الصناعية الجديدة ,1
   حي الوزارات ,1
   حي الرويس ,1
   حي غبيرة ,1
   حي العريجاء ,1
   حي بني مالك ,1
   حي الاصالة ,1
   حي البغدادية الشرقية ,1
   حي الجامعة ,1
   حي مريخ ,1
   حي الامير فواز الشمالي ,1
   حي السلام ,1
   حي لبن ,1
   حي الثقبة ,1
